0;0;
1;127;
1;5;
2;6;
3;7;
4;5;
1;1;
2;2;
3;3;
4;4;
5;1;
6;2;
7;3;
8;4;
9;1;
10;2;
11;3;
12;4;
13;1;
14;2;
15;3;
16;4;
17;1;
18;2;
19;3;
20;4;
21;1;
22;2;
23;3;
24;4;
25;1;
26;2;
27;3;
28;4;
29;1;
30;3;
31;2;
32;1;
1;1;1
1;2;2
1;3;164
1;4;4
1;5;5
1;6;6
1;7;7
1;8;8
1;9;9
1;10;10
1;11;11
1;12;12
1;13;13
1;14;14
1;15;15
1;16;16
1;17;17
1;18;18
1;19;19
1;20;20
1;21;21
1;22;22
1;23;23
1;24;24
1;25;25
1;26;26
1;27;27
1;28;28
1;29;29
1;30;30
1;31;31
1;32;32
1;33;33
1;34;34
1;35;35
1;36;36
1;37;37
1;38;38
1;39;39
1;40;40
1;41;41
1;42;42
1;43;43
1;44;44
1;45;45
1;46;46
1;47;47
1;48;48
1;49;49
1;50;50
1;51;51
1;52;52
1;53;53
1;54;54
1;55;55
1;56;56
1;57;57
1;58;58
1;59;59
1;60;60
1;61;61
1;62;62
1;63;63
1;64;64
2;1;1
2;2;2
2;3;3
2;4;4
2;5;5
2;6;6
2;7;7
2;8;8
2;9;9
2;10;10
2;11;11
2;12;12
2;13;13
2;14;14
2;15;15
2;16;16
2;17;17
2;18;18
2;19;19
2;20;20
2;21;21
2;22;22
2;23;23
2;24;24
2;25;25
2;26;26
2;27;27
2;28;28
2;29;29
2;30;30
2;31;31
2;32;32
2;33;33
2;34;34
2;35;35
2;36;36
2;37;37
2;38;38
2;39;39
2;40;40
2;41;41
2;42;42
2;43;43
2;44;44
2;45;45
2;46;46
2;47;47
2;48;48
2;49;49
2;50;50
2;51;51
2;52;52
2;53;53
2;54;54
2;55;55
2;56;56
2;57;57
2;58;58
2;59;59
2;60;60
2;61;61
2;62;62
2;63;63
2;64;64
3;1;1
3;2;2
3;3;3
3;4;4
3;5;5
3;6;6
3;7;7
3;8;8
3;9;9
3;10;10
3;11;11
3;12;12
3;13;13
3;14;14
